"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"2","0.593598","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"3","1.000100","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"4","1.617929","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"5","1.647834","192.168.1.114","162.159.134.234","TLSv1.2","105","Application Data"
"6","1.660202","162.159.134.234","192.168.1.114","TCP","60","443  >  52663 [ACK] Seq=1 Ack=52 Win=8 Len=0"
"7","1.764701","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"8","1.772584","162.159.134.234","192.168.1.114","TLSv1.2","88","Application Data"
"9","1.824710","192.168.1.114","162.159.134.234","TCP","54","52663  >  443 [ACK] Seq=52 Ack=35 Win=1026 Len=0"
"10","1.838123","192.168.1.114","66.22.238.15","RTCP","102","Sender Report   "
"11","2.000035","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"12","2.366188","192.168.1.67","239.255.255.250","UDP","77","43849  >  15600 Len=35"
"13","2.515099","192.168.1.114","66.22.238.15","UDP","50","53858  >  50003 Len=8"
"14","2.529892","66.22.238.15","192.168.1.114","UDP","60","50003  >  53858 Len=8"
"15","2.641897","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"16","2.673606","162.159.134.234","192.168.1.114","TLSv1.2","631","Application Data"
"17","2.726712","192.168.1.114","162.159.134.234","TCP","54","52663  >  443 [ACK] Seq=52 Ack=612 Win=1024 Len=0"
"18","2.999954","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"19","3.475304","192.168.1.114","162.159.128.235","TLSv1.2","115","Application Data"
"20","3.491076","162.159.128.235","192.168.1.114","TLSv1.2","111","Application Data"
"21","3.538335","192.168.1.114","162.159.128.235","TCP","54","65015  >  443 [ACK] Seq=62 Ack=58 Win=1024 Len=0"
"22","3.665872","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"23","3.766812","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"24","4.000117","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"25","4.689617","AmazonTe_a7:73:74","Broadcast","ARP","60","Who has 192.168.1.6? Tell 192.168.1.32"
"26","4.736688","192.168.1.52","255.255.255.255","UDP","214","49153  >  6667 Len=172"
"27","4.978370","192.168.1.89","255.255.255.255","UDP","214","49153  >  6667 Len=172"
"28","5.000323","66.22.238.15","192.168.1.114","RTCP","94","Receiver Report   "
"29","5.145965","192.168.1.114","104.126.244.161","TCP","55","50102  >  443 [ACK] Seq=1 Ack=1 Win=1026 Len=1 [TCP segment of a reassembled PDU]"
"30","5.168442","104.126.244.161","192.168.1.114","TCP","66","443  >  50102 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"31","5.254904","192.168.1.114","104.126.244.161","TCP","55","50103  >  443 [ACK] Seq=1 Ack=1 Win=1026 Len=1 [TCP segment of a reassembled PDU]"
"32","5.281209","104.126.244.161","192.168.1.114","TCP","66","443  >  50103 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"33","5.365805","192.168.1.67","192.168.1.255","UDP","77","59269  >  15600 Len=35"
"34","5.514707","192.168.1.114","151.99.51.238","UDP","975","61661  >  443 Len=933"
"35","5.516715","151.99.51.238","192.168.1.114","UDP","71","443  >  61661 Len=29"
"36","5.517504","151.99.51.238","192.168.1.114","UDP","167","443  >  61661 Len=125"
"37","5.517585","151.99.51.238","192.168.1.114","UDP","1287","443  >  61661 Len=1245"
"38","5.517676","192.168.1.114","151.99.51.238","UDP","78","61661  >  443 Len=36"
"39","5.517799","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"40","5.517816","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"41","5.517816","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"42","5.517878","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"43","5.517878","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"44","5.517878","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"45","5.517878","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"46","5.517878","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"47","5.517878","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"48","5.517966","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"49","5.517966","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"50","5.517966","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"51","5.517966","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"52","5.517966","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"53","5.517966","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"54","5.517966","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"55","5.517966","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"56","5.518008","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"57","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"58","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"59","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"60","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"61","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"62","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"63","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"64","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"65","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"66","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"67","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"68","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"69","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"70","5.518110","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"71","5.518221","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"72","5.518238","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"73","5.518238","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"74","5.518238","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"75","5.518238","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"76","5.518238","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"77","5.518238","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"78","5.518238","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"79","5.518238","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"80","5.518238","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"81","5.518238","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"82","5.518238","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"83","5.518238","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"84","5.518283","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"85","5.518364","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"86","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"87","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"88","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"89","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"90","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"91","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"92","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"93","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"94","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"95","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"96","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"97","5.518368","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"98","5.518463","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"99","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"100","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"101","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"102","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"103","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"104","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"105","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"106","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"107","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"108","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"109","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"110","5.518498","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"111","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"112","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"113","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"114","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"115","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"116","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"117","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"118","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"119","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"120","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"121","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"122","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"123","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"124","5.518636","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"125","5.518669","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"126","5.518731","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"127","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"128","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"129","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"130","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"131","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"132","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"133","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"134","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"135","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"136","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"137","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"138","5.518765","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"139","5.518804","192.168.1.114","151.99.51.238","UDP","75","61661  >  443 Len=33"
"140","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"141","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"142","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"143","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"144","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"145","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"146","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"147","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"148","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
"149","5.518892","151.99.51.238","192.168.1.114","UDP","1292","443  >  61661 Len=1250"
